comment,rating
"Pengemasan produk aman, barang ori dan segel.. hanya saja sudah request di notes minta kode PA/A tapi dikirimnya produk kode SA/A, its oke sih cuma harusnya lebih teliti lagi soalnya bilang produk PA/A ready tapi nyatanya ngga dikirim sesuai notes",5.0
"Barang masih segel dan ada garansi resminya, moga awet",5.0
"jujur aku jarang beli barang yang mahal dan ad ketakutan ketika beli tetapi setelah aku ngobrol sama admin nya ternyata di yakin dan ramah banget, alhamdulillah barang nya sampai dengan selamat meskipun saya tanyain terus ke admin nya soal pengiriman nya tapi admin nya tetap balas nya cepat dan ramah, thnks buat admin nya🙏😄",5.0
"Alhamdulillah sudah sampai,pengiriman nya cepet banget,new masih segel ,garansi aktif waktu pembelian..makasih admin",5.0
"Barang Original Bergaransi Resmi ,sesuai request dapat Kode unit PA/A ,untuk saat ini masih aman2 saja,semoga kedepannya tidak ada kendala,terima kasih ISMILE & Tokopedia,puas belanja di sini harga murah,pengiriman cepat dan aman.",5.0
Bubble wrap lumayan tebel dan pas terbuka... taraaaa... beneran asli original TAM. Gak usah ragu beli iPhone di Toko ini. Terima kasih seller dan Tokopedia.,5.0
"imei terdaftar, produk ori. sudah ke 3x blanja di store ini dan tidak pernah ragu”  soal keaslian produknya👍",5.0
"Ud pakai hari ke 3 so far baik aja. Barang ori, pengiriman cepat, admin responsif. Semoga awet ya..",5.0
"Warna dan memori sesuai, pengirimannya cukup cepat, kondisi mulus, garansi ibox. Thank you",5.0
"barang masih segel di jamin original sudah tiba dengan dan bisa di gunakan dengan baik tanpa kendala , Morowali 🙏
terimakasih ismile",5.0
"Barangnya tiba dengan baik.. belum test sinyal sih tapi semua tersegel rapi.
Packingnya juga aman. Berharap sinyal juga ok. Sayangnya memang ya gak ada kepala charger",5.0
"Produk ori, sesuai deskripsi, dan berfungsi dengan baik. Dapat bonus tempered glass dan anti crack. Harga lebih murah dari toko online dan offline lain. Pengemasan aman dan rapi karena bubblewrap nya tebal dan seller tidak mencantumkan nama produk yang dibeli jadi aman dari pencurian. Seller responsif dalam menjawab pertanyaan.

Pengiriman sangat cepat hanya 2 hari pakai ekspedisi JNE. Saran aja lebih baik bayar ongkir dan pilih kurir sendiri karena kurir rekomendasi (AnterAja) sering bermasalah dan lama sampainya dan ujung-ujungnya di oper juga ke JNE. Tapi tergantung daerah juga sih. Biar gak was-was aja apalagi barang elektronik.",5.0
"Barang sesuai yang di harapkan dan original berpungsi dengan baik, penhiriman juga cepat, mudah mudahan  gak ada kendala",5.0
"jujur aman banget, admin responsif dan ramah banget. aku request garansi gdn dan produksi terbaru, yaa dapet garansi Digimap tapi isokeeyy trus aku cek 3utools juga aman banget produksi 2024. terimakasih iSmile!",5.0
"barang masih di segel Alhamdulillah barang sampai dengan selamat, pengemasan sangat baik. baru di buka tapi belum di cek di 3tools mudah mudahan garansi resmi dari iBox mudah mudahan ngga green screen, terbaik deh. adminya juga ramah",5.0
"mantap. semua aman.saya minta kode PA tapi yang dikasih kode SA .. gpp lah yang penting masih kode resmi yang diakui pemerintah indonesia , yang penting bukan ex inter. . 

garansi tertera si foto yg saya upload. 1 Tahun.

segel aman. smua aman.",5.0
"bagus, ori , pengiriman cepat sampai dengan kondisi baik",5.0
"barang sesuai dengan deskripsi dan gambar, pengiriman sangat cepat dan aman bubble warpnya tebel banget. semoga awet dan sukses selalu tokonyaa",5.0
"makasih, alhamdulillah pesanan sudah diterima dg baik, masih tersegel, ada garansi resminya, pangiriman okey menggunakan bubble wrap berlapis²..semoga berkah, awet, dan bermanfaat..",5.0
"Review setelah 1 bulan pemakaiannya, yang pastinya ini adalah iPhone ori yang resmi dan pastinya sinyalnya aman. Untuk unit yang saya dapat dibeli pada tanggal 26 november dan saya aktifkan di tanggal 27. Dan ya garansinya aktif ketika pertama kali dinyalakan. Untuk kondisi jelas mulus dan pasti ada segel greenpeelnya, jadi jangan ragu ya gaes. Setelah 1 bulan battery health masih 100% (ini tergantung penggunaan dan jenis adaptor yang kalian pakai, usahakan pakai yang sudah MFI ya) 
Thanks buat miminnya yang sangat safety dalam packing barangnya, berikut ini adalah sampel foto & video selama saya pakai hp ini",5.0
"Barang original, garansi resmi, masih segel pas sampe, semuanya berfungsi dengan baik ✨ Adminnya ramah, responsif dan informatif kalo kita nanya2, fast response. Terbaikkk",5.0
"original ibox PA/A, adminnya ramah, sampai dengan selamat, bubble tebal, tanpa lecet sedikitpun, good joob semoga pemakaian aman🩷🩷🩷🩷",5.0
"Alhamdulillah akhirnya mendarat dengan aman sentosa,Fast respon, packing rapih Real pic recommended seller Barang original . Pertahankan.",5.0
"Alhamdulillah hp nya tiba dengan selamat, 
Namun agak kecewa dengan packingannya yg tipis, sampe box hp nya penyok sedikit dibagian atas kiri dan pengirimannya jugamolor 2 hari. 
Semoga hpnya berfungsi dengan baik kedepannya.",4.0
"sesuai pesanan hanya saja dpt yg ID/A padahal pengennya yg SA/A tp bukan salah seller, krn lupa tulis di catatan
puas dgn produknya aman tidak ada kendala, pengiriman sampai sebelum estimasi, seller fast respon dan cs nya ramah² tiap kali di chat
trimakasih seller👍👍
trimakasih tokped👍👍",5.0
"semua berfungsi dengan baik, sinyal dan lain halnya. CS nya responsif dan gercep. untuk pengirimannya juga cepat dan packingnya super aman di balut dengan bubble wrap tebellll. imei aman dan resmi indo, warna ijo nya KEREN BEUTT!!",5.0
"knapa cepet panas ya, kalo dibanding samsung A31",5.0
"mantapp dapet harga murah disini cuman 7jtan aja, produk bagus ori masih tersegel dan bergaransi, cuman cukup disayangkan packingnya terkesan seadanya aja seharusnya bisa lebih baik lagi untuk packagingnya yaa, yaa meski begitu produk sampai dengan aman sih",5.0
"Alhamdulillah datang dengan kondisi sangat baik, admin sangat membantu, packingan baik, hp nya semoga berguna dengan baik",5.0
"Ori 100% mantap deh pokoknya🫶
Next harus beli lagi",5.0
"Ip13 128gb midnight yg paling ditunggu di promo 1212, barang bagus, segel, garansi resmi",5.0
"Barang masih segel dan bergaransi resmi
Recomended",5.0
"barang ori, garansi GDN oke gpplah walaupun udah minta PA/A",5.0
"Barang sampai dengan Aman, Packing sangat rapat. Pengiriman cepat. Handphone nya Original & ada kartu garansinya 👌 sudah dinyalakan dan berfungsi dengan baik",5.0
"pengriman cepat ID Express jakarta-jatim 2,5 hari, after sales ok cepat cuman terlalu banyak bot chat kata-kata terlalu baku, packing kurang safety kurang kuat hanya di balut bubble wrap saja tidak ada KARDUS BEKAS untuk tambahan POINT MINUS ➖ (AGAK PELIT KARDUS), sempet kecewa tapi tidak jadi soalnya tempered glassnya di taruh di belakang case supaya tidak pecah, karena biasa saya tau TG rawan pecah kalau ketekan. dapat iphone 13 series green ram/internal 4/128gb dengan kode region ID/A IMEI sinyal aman, oh ini made in china di buatnya di china kata after salesnya, dan menggunakan layar LCD Samsung/LG bukan BOE (beijing oreintasi electronic) hmm sekarang apa-apa china

allhamdulilah punya iphone semoga bisa menjadi berkah dan untuk ladang usaha aamiin ✌🏻",5.0
"CS fast respon dan ramah 
packingnya oke, berlapis lapis buble. 
sempat berkendala d pengiriman karena bang kurir bawa balik krn d tempat yg menerima gk ada. babang kurirnya baik, amanah. 

semoga Hp awet ya. sejauh ini tdk ada kendala khusus. terima kasih",5.0
"MANTAP GANNN 
1000% ORIGINAL BRAND SELLER SUPER RAMMAH POLL PENGIRIMAN SBY CUMA 3HARI WES AMAN BUBBLE TEBEL GARANSI RESMI BISMILLAH BELI LAGI ENTAH KAPAN 😁😁",5.0
"barang masih segel, sejauh ini aman tapi belum di buka, semoga awet",5.0
"Original Ibox garansi resmi,  sudah di validasi dan verifikasi unit via 3utools semua normal dan hijau 100%, makasi kak sukses selalu usaha nya...",5.0
"Alhamdulillah pertama x beli HP online dan lgsg HP mahal pulak🙈 pengiriman lama banget pake kurir rekomendasi, dr tgl 29 September baru sampe hari ini tgl 7 Oktober😭 gmn gak deg²an😭 seller ramah fast respon cm proses pengirimannya aja lama, tp puasss banget karna barang original dan sesuai, udh gt free case + temperglass, cuma saran aja sih packingnya supaya lebih aman lagi yaa dikasih kardus atau kayu setelah buble warp . thx you ❣️",5.0
"Pesanan sesuai, admin fast respond, barang sampe dengan selamat, fitur aman, request kode unit PA/A juga diturutin. Makasih min",5.0
"Joss barang original,sangat sesuai dengan kriteria handphone",5.0
"Barang bagus, sesuai pesanan, pengiriman cepat, oke semua",5.0
"Sunggu luar biasa sekali.. admin dan pengirimannya sesuai waktunya.. packing nya aman banget.. 

Terimakasih..
Semoga langganan beli disini.. 

Makasih banyak..",5.0
"Finally punya juga, Minta garansi gdn eh dikasi nya ibox, not bad lah, pengiriman cepet",5.0
Mantab. Terimakasih banyak. Sesuai deskripsi. Pengiriman cepat. Fast response.,5.0
"proses cepat, packing aman, barang ok.
ga mengecekan dan sangat rekomen.
terima kasih ...",5.0
"Barangnya ori, sesuai permintaan, minta PA/A dikirim yg sesuai, semoga awet",5.0
"Barang original, sesuai deskripsi..
Bagusssss…",5.0
"Rekomendasi Banget! TOP BGT👍👍
adminn fast respon & pengiriman Kilat Banget(est 3-5 hari, pesan Hari besok nya udj datang), edukatif & sabar banget ke cust kayak aku baru perdana beralih ke iphone, jujur no tipu"".. Alhamdulillah di kasih kode SA/A",5.0
Kuliats mantap semuanya baru tidak ada lecet bahkan di boxnya warna sesuai yg dipesan,5.0
"makasih, pesanan iphone 13 saya sudah diterima dg baik, yg dibeliin suka, karena original..mau beli lagi yg biru, sudah order, tp infonya habis, akhirnya dicancel..tp sampai sekarang linknya masih aktif..gtw kenapa ya..",5.0
"seneng bgttt unitnya bagus bgt dan emg ori, greenpeelll, top markotop deh pokoknyaaa",5.0
Barang msh segel utuh dengan warna dan spesifikasi sesuai order. harga termurah pokok nya mantap drpd beli ex inter,5.0
"barang sudah sampai Peking rapi, barang original. semoga awat.",5.0
"seller gercep kurir juga. mantap pkoknya dpt diskon dri toped juga. sialnya baru beli besoknya mlh turun hrga, tp gpp lah bedanya gajauh",5.0
"barang udah sampai sesuai dgn pesanan. mantap, mulus, tjakeeeeppp, ori pula! makasih kaka2 adminn 🫶🏻",5.0
"Sesuai pesanan dan deskripsi, diterima dengan kondisi baik kualitas produk bagus, barang diterima masih segel dan garansi resmi, produk original berfungsi dengan baik , semoga awet, respon seller cepat, Terima kasih",5.0
"Barang berfungsi dengan normal dan original, imei aktif, penjualnya juga responsif, terimakasih🙏",5.0
"Keren banget Toko ini, enggak salah pilih. Pengiriman cepat. Barang Resmi Original. Plus dapat bonus case dan anti gores dalam paket pembelian",5.0
"original apple, packing aman, respon cepat. barang sesuai pesanan dan desripsi. terima kasih",5.0
"unit tiba ditujuan dengan selamat, mulus, segel , bergaransi resmi. pengiriman cepat, seller fast respon.",5.0
"pertama beli iphone e-commerce,  ori +greenfeel unit mulus warna dan kapasitas sesuai order dpt bonus juga, 
mau cek imei. app kemenperin perbaikan server",5.0
diterima dengan baik. packing ok  konfirmasinya juga oke  Terima kasih. foto realnya lupa. yg ada aja deh. tp overall oke bgt,5.0
"barang masih disegel, sebagai pengguna pertama kali masih bingung ini gimana operasiinnya. free tg tapi gak ada softcase 😭. utk penggunaannya masih belajar. barangkali seller berkenan welcome mau mengajari..saya akan terbantu. semoga awet. terimakasih",4.0
"barang masih disegel, ada kartu garansi nya juga, pengiriman aman dan cepat",5.0
"Barang oke aman dan ter bubble dengan rapih tebal, dalam nya mulus tapi sayang ga da charger nya ga ada charger nya tidak ada charger nya…..",5.0
"barang masih disegel, garansi resmi, bagus.",5.0
"barang segel pengiriman cepat rapih bagus dapet promo potongan , sayang ga dapet promo case aja terima kasih seller",5.0
"the best seller,produk original Apple",5.0
"kualitas barang tidak perlu dipertanyakan, resmi dan semuanya berjalan dengan sangat baik!🤍 my very dream pink phone, thankyou ismile! dapet freebies casing dan antigoresnya jugaaa hehe",5.0
"garansi resmi, respon cepat, prosesnya jg cepat. mantap..",5.0
"Barang masih di segel
Barang Ori Indonesia",5.0
"Trusted Seller, Fast Response and also Fast Delivery. thank You",5.0
"Hpnya original, pengemasan baik, pemakaian hari ke 5 semua sangat baik, harga juga lebih murah daripada tempat lain. Bener bener recommended untuk beli di sini.",5.0
"wow amazing 
barangnya masih segel dan ORI tapi yang kurangnya saya mintanya yang PA/A tapi datangnya SA/A tapi gapapa, Alhamdulillah barang aman 👍🏻",5.0
"Barangnya tiba sangat cepat,,, ori bagus dan paling lumayan tebal, garansi digimap,,, makasih saller cepat tanggap… Semoga awettt amin",5.0
"mantap udah pemakaian 4 bulan aman 😍, btw iphone yg di jual disini ori ya guyss, dan barang dikirim sesuai requestan",5.0
Tak kirimin hasil pemakaiannya aja. Resmi dptnya Digimap ID/A. Walaupun ngarepnya SA/A tapi gapapa yg penting resmi,5.0
"Pengiriman Selamat Sampai Tujuan 
garansi on 1 tahun stelah aktivasi icloud",5.0
"Seller Responsif, barang sampe dengan selamat, bubble wrap tebal. Harga Best Deal banget..",5.0
"masih Segel
packaging aman
followup jg okay",5.0
"Baring ori, original, admin ramah dan sangat membantu! Gausah ragu, asli bintang⭐️⭐️⭐️⭐️⭐️",5.0
"seller fast respon, packing aman, barang sesuai. pengiriman cukup cepat. semoga awet. terima kasih",5.0
sangat sangat rekomendasi untuk di veli fitur garansi dan semua nya,5.0
"Alhamdulillah Masyaallah Tabarakallah, Iphonenya sampai dengan selamat, sempet ragu beli online, tp Alhamdulillah seller amanah, kurir jg amanah, bubble wrap tebel bgt, jd hpnya aman pas sampe, ga ada yg penyok sedikit pun dus nya",5.0
Barang baguss pengiriman cepett. Ori juga kualitas amaan. Semoga awettt,5.0
"mantaps, sempat panik karna jam 8malam belum sampe² padahal sameday, trnyata jam 9baru Baru sampe barangnya,, sesuai reques minta garansi IBOX di kasih garansi ibox dan packing pun aman jaya... bismillah, semoga gak ada kendala dan awet.. terimakasih seller 🙏",5.0
"seller responsive, packaging aman, pengiriman dan instruksi jg jelas.",5.0
"Barang New Original, pengiriman juga cepat sampai.",5.0
barang mantap sesuai pesanan dan mantap djiwa asik2 joss,5.0
"Barang sudah diterima dalam kondisi baik, masih segel dan sesuai variasi warna. Dapat iphone dari *******",5.0
"Barang masih di segel dan bergarasi resmi. 
di packing alhamdulillah aman. 
terima kasih",5.0
"product asli/original, sampai dengan selamat, walaupun salah alamat...akhirnya sampai juga",5.0
"Alhamdulillah akhirnya sampai juga. Pertama kali beli hp di tokped. Cepet banget pengirimannya. Pesen Jumat pagi, Sabtu siang sampai. Pengiriman aman, barang ori BNIB dengan kode sesuai yang diinginkan. Trusted banget MasyaAllah dan lebih murah dibanding toko lain. Terimakasih iSmile🥹",5.0
"mantap, pengiriman cepat dan packing tebel 👍",5.0
mantap👍🏼 barang Ori.. pengiriman nya juga cepat,5.0
"Setelah pencarian di bbrp e-commerce, keliling keliling cek semua seller dan riwayat penjualan serta testimoninya. Pilihan saya jatuh kepada toko ini. Sangat memuaskan. Barang sudah pasti original donk🤩 Sukses seller♥️🔥",5.0
"All is purrrfect, sayang banget gadapet case",5.0
"Barang aman, mendarat dengan selamat, dapet PA/a , karena emang requestnya pa/a , warna sesuai. Starlight. Keren pokoknya",5.0
sampai dengan selamat dan barang sempurna,5.0
"barang nya keadaan bagus aman buble nya tebel minta yg ibox di kirim nya yg ******* kirain ada gratis softcase wkwkk, sayang nya waktu pake kurir rekom dari tokped dpt nya sap expres agak ngecewain lama beut jadi harus di samperin ke gudang cabang kota nya jadi ngongkir lagi pake ojol pp yg harus nya grtis pengiriman",5.0
Barang ori ibox… harga lumayan pengiriman juga cepet… terimaksih yaa packingnya juga aman banget,5.0
Mantap sesuai pesanan dan greenpell masih pertama aktifasi mantap sukses gan,5.0
barang Original dan segel dijamin mantulllllllllllllll,5.0
terima kasih min awalnya aku pikir nipu tapi ternyata beneran original.. maaf min sudah suudzon😭😭😭doakan aku semoga kontrak kerjaku diperpanjang minimal sampe tahun depan biar bisa selesai bayar cicilan paylaternya😭🙏🏻aamiin ya rabbalaamiin,5.0
"Alhamdulillah barang nya bagus dapet unit, PA/A, semoga awet, terimakasih admin🙏🏼🙏🏼",5.0
"amanah,,, packing rapih,,,bagus sesuai deskripsi.....",5.0
bagus mulus pengiriman oke .. lumayan dapet diskon,5.0
"bagus, pengirimannya cepat juga, seharian mlm kirim jam 11 nyampe 
adikku suka",5.0
"pokoknya ga nyangka hari ini pesen besok siang langsung sampe. barangnya bagus, dan semoga awet.",5.0
"Terima kasih reseller, hp dalam keadaan optimal dan masih bergaransi, resmi indonesia, alhamdulillah bisa sedikit menyenangkan istri 🫶🏻",5.0
Mantul lah resmi sesuai dengan yang di inginkan semoga tokonya semakin sukses,5.0
"Reall, pengiriman agak khawatir kalau pake yang gratis ongkir lebih prefer pake yang next day atau instant aja. Admin nya sigap banget ngasih pemberitahuan dulu buat hati hati waspada penipuan via chat pokonyaa terima kasih admin",5.0
Barangnya bagus tapi kan apatuh dia puasa hari iya begitu aja bestiekuh,5.0
Mantab pengiriman juga cepat warnanya sesuai,5.0
Tidak ada kendala. Sejauh ini bagus.semoga tdk ada kendala kedepannya,5.0
"mantap barang sesuai pesanan, toppp, pengiriman cepat",5.0
Recommended. Top. terpercaya. Original.,5.0
Alhamdulillah mulus sinyal aktif. makasih,4.0
"Tokonya fast reson dan sesuai request minta garansi GDN dikasih, makasih yaaa 🔥🔥🔥🔥🔥",5.0
"sudah aku terima barangnya kak, meskipun req PA/A ternyata yg dtg SA/A, karna stock juga sih mungkin yg available itu, tp, aaaaa seneng bgtttt",5.0
"iPhone datang dengan selamat, pengiriman cepat. terimakasih iSmile mantapp ✅✅✅🔥",5.0
barang diterima dengan baik...belum di unbox karna bukan saya punya.terima kasih,5.0
"Pengiriman cepat dengan pilihan kurir rekomendasi, aman sampai tujuan, baru pertama kali make ip, semoga sesuai ekspektasi. Makasih seller",5.0
"barang bagus sampe cepet, rekomended",5.0
"4 jam langsung sampai 🤩🥰🥰🥰🥰 
pakai kurir langsung dari toko jadi lebih aman daripada pakai kurir gojek  .
yang mau pesan pakai kurir toko aja lebih aman 100 persen",5.0
mantap semoga normal sampenya cepet ..,5.0
barang sesuai display Dan spek toko..,5.0
Terimakasih. Beli baranng disini dijamin keasliannya,5.0
"Barang original, sampai dengan tersegel dan tanpa cacat. Garansi juga masih aktif, pelayanan fast respon",5.0
Mantep banget barang ori seller fast respon dan saya ada komplen karena kesalahan saya tetap direspon dan diselesaikan dengan mantap,5.0
"Diterima dengan baik dan aman
Untuk keduakalinya beli disini. Selain produknya original, harganya juga kompetitif, proses pesanan hingga kirim juga sangat cepat. Terima kasih banyak seller",5.0
Barang ori bagus mulus msh segel warna sesuai pesanan berfungsi baik,5.0
original masih tersegel. garansi 1 tahun. fast respon penjualnya.,5.0
"Garansi Resmi, Aman, Masih segel, Adminnya juga Baik bngett",5.0
"Respon penjual ramah, pengiriman cepat, barang original garansi resmi indonesia, mantap selalu 👍",5.0
"asli keren barang cepet sampai
garansi resmi pula, admin juga gercep balesnya 👏",5.0
"barang segel garansi resmi, tanggal produksi 2 bulan yang lalu, plus gratis polis asuransi kerusakan 1 tahun., terimakasih",5.0
Iphone Original pengiriman cepat pelayanan baik dan ramah semoga kedepan semakin sukses buat seller dan Tokped semakin maju.,5.0
"Diterima dengan baik dan aman
Untuk keduakalinya beli disini. Selain produknya original, harganya juga kompetitif, proses pesanan hingga kirim juga sangat cepat. Terima k...",5.0
sesuai harapan. sangat mulus. garansi resmi. belum dibuka sih dan belum di on kan. masih deg degan. maksih seller. moga lancar jaya. aman sentosa,5.0
"HP sampai dengan selamat, admin fast reapon, bisa dikirim di hari yang sama, besoknya suda sampai tujuan. barang original, bagus, tidak ada yang minus. Req garansi ibox PA/A dikasinya juga sama. suka banget dengan respon adminnya, cepat tanggap 🙏",5.0
"barang masih segel, pengiriman cepat, seller ramah. rekomendasi banget lah toko ini",5.0
"barang bagus original segel green peel, cuma kecewa kurir jne lama 2 hari barang gak gerak jadi saya jemput ke kantor. thanks tokoh yang fast respon sukses selalu",5.0
"Sehari sampe, barang baru, batre health full, IMEI terdaftar, garansi juga resmi. best dah pokoknya",5.0
"Sangat rekomendasi buat yg mau beli iphone garansi resmi, adminnya ramah juga terpercaya. Sukses terus sellernya 😍",5.0
"Admin komunikatif, Hp Original Apple Garansi Resmi, BNIB segel green peel, paket dikemas bubble warp extra tebal, warna sesuai pesanan, dapat seri D/A, over all Fungsi aman, sinyal aman",5.0
"Kualitas barang original, seller fast respon. Kurir nya juga cepat. Top lah bakal jadi langganan ini mah",5.0
"barang bagus sesuai pesanan, masih segel rapi , penjual ramah rekomen tokonya, saya sudah dua kali beli di toko ini",5.0
"Mantap, penjual sangat responsip. Barang cepat dikirim juga. Ip 13 original buat gantiin iphone lama. Cuma agak kurang puas ke pihak ekspedisi saja biasanya jkt ke sini 3 hari ini 5 hari. Tapi barang aman sentosa",5.0
"Barang sesuai pesanan, original
awalnya khawatir karena harga lebih murah dibanding ibox, digimap, dll tapi ternyata aman

mungkin karena ismile gak punya toko fisik jadi harga lebih murah kali ya",5.0
"Barang beneran original.
Pelayanan juga ramah.
Pengiriman cepat dan packaging aman, dibungkus tebal bgt.
Good.",5.0
"barang masih segel, aman, barang asli bergaransi resmi, spesifikasi sesuai, pengiriman juga ok. terima kasih",5.0
"Barang udah pasti masih segel alias new, pengiriman instan Good, admin responsif, pokoknya good lah semoga gak ada kendala buat kedepan nya sama hapenya",5.0
"barang masih segel, pengemasan rapih, proses cepat,barang ORI berfungsi dengan baik",5.0
"barang sesuai yg dibeli dan dibayar,terdaftar semoga awet dipegang terasa nyaman ngga berat banget dan ngga kebesaran jika disimpan ditas juga enak ngga menambah berat semoga berkah Aamiin",5.0
"sesuai pesanan PA/A, barang original, garansi resmi",5.0
barang masih segel ori garansi resmi. berfungsi dgn baik. sinyal aman imei aman. rekomendasi buat yg lagi cari iphone baru resmi harga murah seler terpercaya..,5.0
"barang masih segel, kondisi bagus, awalnua deg degan, tapi alhamdulilah sampai dengan selamat, pengiriman cepat",5.0
"barang masih segel, ori mantap, packing rapih, dapet diskon makasih seller",5.0
Barang ok alhamdulillah. Cuma dari segi packing nya kurang tebel buble wrap nya jadinya dus nya aga ada penyok dikit but its okay,5.0
"Pengiriman pake kurir rekomendasi tokopaedi kehitung lama sih, sudah request pick up dari tanggal 2 baru sampe Bandung tgl 5 (fyi pesennya tgl 1)

Packaging oke tapi dus-nya penyok :( , sama bonus tempered glass-nya pecah

Tapi overall aman sih hape-nya berfungsi dengan baik. Untuk garansi sampe 13 Desember 2024 gapapa lah beda selisih 20 harian dari pertama unboxing",5.0
"great, seller ramah, barang ori sesuai deskripsi",5.0
"barang mulus tidak ada lecet, dus tidak ada penyok, packing rapi aman & tebal",5.0
"udah coba sim by u juga lancar internetnya, true tone nyala, sound bagus, battre bagus, barang bagus cuma pengiriman aja sampah",5.0
cakep barang segel berfungsi dengan baik.kurirnya baik amanah sopan,5.0
"Barang orisinil, packaging sangat bagus, sesuai yang diinginkan, seller juga ramah dan cepat tanggap",5.0
Barang masih disegel waktu sampai & ada garansi resminya Berfungsi dengan baik! Kualitas barang original pasti top.🔥,5.0
"Barang masih disegel rapi. Pengiriman aman dengan bubble wrap dan lakban berlipat. Nama barang juga gak keliatan oleh kurir.

Langsung bisa digunakan, berjalan baik. Apple Warranty otomatis 1 tahun setelah aktifasi. Adminnya ramah dan ngasi tips buat menghindari penipuan selama pengiriman.

Original semua. Thankss!",5.0
"NEW dan ORIGINAL
sedikit takut beli online dengan harga jauh dari web ibox, tapi respon seller dan ulasan pembeli buat aku percaya ini toko amanah
alhamdulillah dapet harga 7,9",5.0
Mantap. Alhamdulillah barang sudah diterima dalam kondisi baik dan asli Ori. Buat pengirimannya juga mantap sesuai estimasi,5.0
"barang sampai dengan keadaan sangat safety, bubble wrap tebal. barang mulus. seller juga ramah dan informatif sekali. terima kasih atas diskonnya yaa",5.0
"pengiriman cepat, barang original, baru gress, apple ori, garansi resmi, penjual sgt responsive biar dihari minggu jg. terimakasih banyak.",5.0
"Barang original & resmi
Seller ramah
Pengiriman cepat
Packing aman & rapi",5.0
"seller responsif, produk sesuai dan berfungsi. mantap",5.0
"Iphone 13 Ori baru, dapet unit SA/A, packing safety , pengiriman cepat, alhamdulillah toko amanah, jangan ragu beli iphone disini 🫶🏻",5.0
"alhamdulillah barang sudah sampai dengan selamat, cs nya pun sangat ramah dan fast respon, unit yang pasti ori bergaransi resmi dan berfungsi dengan baik, mantap dan terimakasih seller 🙌",5.0
"Meski pengiriman agak lambat, barang tetap masih segel dan aman sampai tangan pembeli. Adminnya juga responsif kalo ditanyain. Sesuai dengan request (ID/A).  Semoga awet dan berkah ✨

Terimakasih seller, topp 👍🏻",5.0
"Barang sudah sampai. Baru dan Segel Greenpeel. Garansi TAM.
pokok berkali2 beli di ismile Official Store emang mantaap.",5.0
"Barang original pelayanan cepat & admin sangat fast response, nicee next time re order",5.0
"Jujur ini pertama kali beli hp iphone ibox di e-commerce. Males ke ibox langsung karna anak masih bayi blm bisa ditinggal lama kasian. Sempet ragu karna harganya dibawah pasaran tp beneran segel, green peel. Garansi ibox sampe September 2024. Pengiriman cepat, admin ramah bgt. Dapet anti gores sm clear case juga. Paket komplit sih udah harganya murah, original, oke bgt deh. Thanks seller. Nanti klo upgrade hp lagi mau order disini lagi. Puas bgt belanja disini!",5.0
"Produk sampai dengan cepat dan aman, barang ori garansi ibox dapat jg case dan anti gores",5.0
